geneName	LogFC	pvalue
FOXC2	1.565300373820826	6.8516796427834424e-12
EDNRB	1.1067953829332515	9.51353263653954e-13
ADPGK	-0.8915084892885901	4.989308685984572e-4
TM117	-0.9173659752848721	1.5074054564306793e-6
SYT1	-1.8158912801549991	3.619200649515425e-17
AL1A2	1.1847107488773319	1.8950884576117666e-7
HARB1	1.0620549574686293	4.562694334968997e-4
CEBPA	-1.717652954372036	1.1501116605313264e-190
HMGA1	1.3166641918654156	1.0471001199803767e-4
UD12	-3.67648313012373	6.25205968833488e-4
PTN18	-0.789119777811424	2.4221987680441685e-14
BTBBA	2.237076574728761	2.073817233261358e-27
MEG10	1.2852058832726616	3.0148655180729455e-8
CRYAB	2.653801906154294	6.581922752460385e-8
EGFL8	1.443797574054679	7.092179020148199e-26
HA2D	-1.0627202054180218	3.515206772910941e-47
NAL12	-0.9816011002715801	2.433272772403203e-5
RAB38	0.8058485250053911	4.4368242638527334e-14
SP7	2.028695668240504	8.002863298427146e-44
GGCT	-0.8354326393666092	9.62942114876302e-21
AHNK	1.8422944477063725	7.852304615472263e-11
S39AE	-1.0543161040815259	2.315060753505055e-11
UPK3B	-1.1620626054590457	3.11702025438533e-39
HSPB8	2.0235534980438787	1.5517062071175122e-9
ANO10	-1.3875542677549588	2.266966507284968e-31
TTPA	-0.9440446232423746	5.0694851509013485e-42
NEBU	3.874524350226003	2.5481578577721226e-14
PPM1K	2.9202095172302953	1.384834683764167e-7
SGK1	1.5228572791145039	8.478734867925572e-104
COE3	1.6251148801887116	5.8549153479469355e-8
PAX9	0.7524357301841078	3.5933568411868934e-11
PGAM2	0.8969216244881728	7.189288239327874e-16
BI2L1	-1.5202521209067177	4.283789616879628e-9
SMOC1	1.5551481904591893	4.2682029930408867e-19
TENA	1.1639117992628922	5.042309016522164e-43
NID1	1.2190064418559958	2.9362106070059976e-36
GALT7	-0.865514642648773	4.647295348785857e-28
MUC16	-1.612594894866392	1.844673459798706e-21
HISAT	-2.0685234747934054	1.178481271741833e-6
METL4	-0.8160053374346725	3.619200649515425e-17
F180A	1.4317752896341824	5.2584026655754595e-8
IGG2A	-4.813956963361313	1.980134079301902e-17
PGDH	-0.9318003062088216	2.0454229763975824e-77
CCDC3	2.8355965144722064	2.406721918739033e-21
CATF	0.794706670593878	3.260299074179807e-4
SESD1	1.1773793788189686	6.331402985782471e-42
NAL12	-0.9820777743119219	2.0566244102673915e-7
ISM1	1.1609235041333112	2.770830934771394e-9
EDSP	-1.2877486401172809	1.1595792637239251e-7
EMID1	0.9361871515290066	2.6832615856242593e-20
CAN5	-1.2831459512300452	7.735541062600544e-5
CAN5	-1.519067150631247	3.0690799312678586e-71
CLD5	1.4680590312182566	5.780537859122904e-4
B3GN3	-1.3775630955691154	2.714259644260316e-28
AGRE2	-1.0328106988583243	8.048753994038472e-39
SX17A	2.1740065174968457	2.962429051047994e-9
HEXD	-0.8219726674941633	8.025766884512797e-16
SEM3D	1.17111633966015	4.4531848946347524e-24
TBX18	1.9916131089884206	2.526816068552997e-7
HPSE2	-0.819514724443132	2.7426608501836447e-18
TBKB1	1.0269825528946148	9.525337915107164e-7
ABHEB	-0.9516790142676674	1.1945490642420502e-16
ST1A1	-0.9769962515735982	1.393480622404187e-29
SMAD6	1.065147096687855	5.244471613891406e-5
YRD6	-1.885682346253592	4.3581390233632145e-4
NDNF	1.7460533694766376	1.821043606213087e-60
TFPI2	1.6314397063969628	2.0358210424912345e-9
FGD3	-0.7857444222527412	5.159836032663183e-6
CRIP2	1.0485173162053119	4.497293004002955e-33
FYN	0.9159298447350631	1.271474553481941e-7
HCK	-0.9911765167531678	1.2753452845750046e-28
GP161	0.7675962179300712	1.2920730083833386e-9
CNTFR	1.0438651805920884	5.935148576088159e-7
