geneName,log2FoldChange,padj,RNEA_geneName,sig,centralNode,DE,TF,filteredNetwork,geneNameShort,filteredNetwork_nosep
LDHA.1,0.9258281328465642,3.8189945631908064e-28,LDHA,TRUE,FALSE,upregulated,FALSE,TRUE,LDHA,FALSE
LEF1,1.7175438723710807,2.182773815337767e-49,LEF1,TRUE,TRUE,upregulated,FALSE,TRUE,LEF1,TRUE
LEF1.1,1.6972415469403372,2.378186614114867e-187,LEF1,TRUE,FALSE,upregulated,FALSE,TRUE,LEF1,TRUE
LIMA1,1.3827875710315147,1.0268936834972834e-4,LIMA1,TRUE,FALSE,upregulated,FALSE,TRUE,LIMA1,TRUE
LIPE.1,0.8464443506337819,1.7654706947434407e-8,LIPE,TRUE,FALSE,upregulated,FALSE,FALSE,LIPE,FALSE
LITAF.1,-1.3638741964404508,2.885577953047804e-5,LITAF,TRUE,FALSE,downregulated,FALSE,FALSE,LITAF,FALSE
LMO3,1.9225533477284822,4.78866678297059e-25,LMO3,TRUE,FALSE,upregulated,FALSE,FALSE,LMO3,FALSE
LOXL4,1.1287766561321895,2.4276960101078655e-32,LOXL4,TRUE,FALSE,upregulated,FALSE,FALSE,LOXL4,FALSE
LRRN3,0.9171299591003685,1.9689061322227105e-4,LRRN3,TRUE,FALSE,upregulated,FALSE,FALSE,LRRN3,FALSE
LYL1,1.3651556495418258,1.2851190362701522e-4,LYL1,TRUE,FALSE,upregulated,FALSE,FALSE,LYL1,FALSE
MAF,2.333792223949808,8.646543307885189e-6,MAF,TRUE,FALSE,upregulated,FALSE,TRUE,MAF,FALSE
MAG.3,2.8295396324692144,1.3173027241438995e-19,MAG,TRUE,FALSE,upregulated,FALSE,FALSE,MAG,FALSE
MBP.1,2.885061724163296,3.058681982402309e-35,MBP,TRUE,FALSE,upregulated,FALSE,TRUE,MBP,FALSE
MEF2C,0.10352423058318326,0.04470436807924061,MEF2C,FALSE,FALSE,RNEA_addition,FALSE,TRUE,MEF2C,FALSE
MGP,1.4839077970145615,2.8161059509101816e-9,MGP,TRUE,FALSE,upregulated,FALSE,FALSE,MGP,FALSE
MMP11,0.9560378935687877,1.2318866359622205e-16,MMP11,TRUE,FALSE,upregulated,FALSE,TRUE,MMP11,FALSE
MMP20,-0.9993501775256788,1.4111517356776745e-111,MMP20,TRUE,FALSE,downregulated,FALSE,FALSE,MMP20,FALSE
MMRN1,1.1664796053504054,8.123889352902689e-15,MMRN1,TRUE,FALSE,upregulated,FALSE,FALSE,MMRN1,FALSE
MSLN,-1.2868475452639412,1.8607675384924157e-9,MSLN,TRUE,FALSE,downregulated,FALSE,TRUE,MSLN,TRUE
MUC1,-1.0770841034868686,1.972865914546076e-32,MUC1,TRUE,FALSE,downregulated,FALSE,TRUE,MUC1,FALSE
MUC17,-1.120499060041728,1.2375669831232233e-15,MUC17,TRUE,FALSE,downregulated,FALSE,FALSE,MUC17,FALSE
MUC2,-1.1883924926601337,5.981738251905186e-27,MUC2,TRUE,FALSE,downregulated,FALSE,FALSE,MUC2,FALSE
MUC4,-1.2645194669811128,8.736970509397782e-43,MUC4,TRUE,FALSE,downregulated,FALSE,TRUE,MUC4,FALSE
MUC5B,-1.3043285070434283,9.660390329390795e-36,MUC5B,TRUE,FALSE,downregulated,FALSE,TRUE,MUC5B,FALSE
MYB,0.16694443365921724,5.65064484973241e-6,MYB,FALSE,FALSE,RNEA_addition,FALSE,FALSE,MYB,FALSE
MYCN.1,1.646829279501305,1.9102719711930675e-15,MYCN,TRUE,FALSE,upregulated,TRUE,TRUE,MYCN,TRUE
MYCN.2,1.7346580605372022,5.569007605014307e-34,MYCN,TRUE,FALSE,upregulated,TRUE,TRUE,MYCN,TRUE
NCAM1,2.0615879084353144,5.672414368099881e-7,NCAM1,TRUE,FALSE,upregulated,FALSE,TRUE,NCAM1,TRUE
