"GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","FDR"
"GO:0060537",0.000420951583997356,1.95964402670193,19.1475292587776,35,351,"muscle tissue development",0.000778506845103544
"GO:0090090",0.00045327714300747,2.98978100176523,5.61879063719116,15,103,"negative regulation of canonical Wnt signaling pathway",0.000836609716853467
"GO:1902742",0.000475941431449082,6.10859375,1.47288686605982,7,27,"apoptotic process involved in development",0.000876684116729208
"GO:0031345",0.00048137516703684,2.56856472795497,8.12815344603381,19,149,"negative regulation of cell projection organization",0.00088492321125934
"GO:0045216",0.0004877676032844,2.49395994076845,8.78276983094928,20,161,"cell-cell junction organization",0.000894888371762814
"GO:0001890",0.000493403427318062,3.10652857690832,5.07327698309493,14,93,"placenta development",0.000903428541868658
"GO:0003306",0.000515750815329341,17.4095808383234,0.436410923276983,4,8,"Wnt signaling pathway involved in heart development",0.000936108424573762
"GO:0021536",0.000517104260741717,4.49411359724613,2.40026007802341,9,44,"diencephalon development",0.000936108424573762
"GO:0090171",0.000518366228591334,7.47401817870005,1.09102730819246,6,20,"chondrocyte morphogenesis",0.000936108424573762
"GO:0048730",0.000518366228591334,7.47401817870005,1.09102730819246,6,20,"epidermis morphogenesis",0.000936108424573762
"GO:0032331",0.000518366228591334,7.47401817870005,1.09102730819246,6,20,"negative regulation of chondrocyte differentiation",0.000936108424573762
"GO:0003429",0.000518366228591334,7.47401817870005,1.09102730819246,6,20,"growth plate cartilage chondrocyte morphogenesis",0.000936108424573762
"GO:0003414",0.000518366228591334,7.47401817870005,1.09102730819246,6,20,"chondrocyte morphogenesis involved in endochondral bone morphogenesis",0.000936108424573762
"GO:0050773",0.000558486504065527,2.92293689320388,5.7278933680104,15,105,"regulation of dendrite development",0.00100658722161321
"GO:0048608",0.000563126673495948,2.24821824827046,11.5648894668401,24,212,"reproductive structure development",0.00101099350153951
"GO:0021537",0.000563126673495948,2.24821824827046,11.5648894668401,24,212,"telencephalon development",0.00101099350153951
"GO:0000003",0.000566497561897075,1.54070001026408,53.0239271781534,77,972,"reproduction",0.00101506664301013
"GO:0016043",0.00057010978040186,1.27403064595635,280.830429128739,325,5148,"cellular component organization",0.00101955554902935
"GO:0042060",0.000578112502467049,1.96360628618693,18.0019505851756,33,330,"wound healing",0.00103186359451968
"GO:0009880",0.000593006378516466,3.97439412216252,2.94577373211964,10,54,"embryonic pattern specification",0.00105436076180244
"GO:0002065",0.000593006378516466,3.97439412216252,2.94577373211964,10,54,"columnar/cuboidal epithelial cell differentiation",0.00105436076180244
"GO:0048663",0.000615553602125084,4.36897590361446,2.45481144343303,9,45,"neuron fate commitment",0.00107064604965825
"GO:0010812",0.000615553602125084,4.36897590361446,2.45481144343303,9,45,"negative regulation of cell-substrate adhesion",0.00107064604965825
"GO:0042640",0.000620765462016836,52.177033492823,0.218205461638492,3,4,"anagen",0.00107064604965825
"GO:0003253",0.000620765462016836,52.177033492823,0.218205461638492,3,4,"cardiac neural crest cell migration involved in outflow tract morphogenesis",0.00107064604965825
