Gene,Cluster,Assigned Tissue
PKHF1,10,BHTB
NKAPL,10,BHTB
ESIP1,10,BHTB
ERN1,10,BHTB
TM238.1,10,BHTB
CD83,10,BHTB
GA45G,10,BHTB
NMI,10,BHTB
BACE2,10,BHTB
B4GT4,10,BHTB
HB2D,10,BHTB
TBK1.1,10,BHTB
NLTP,10,BHTB
TCB.1,10,BHTB
ZA2G,10,BHTB
THY1,10,BHTB
ELF5,10,BHTB
DDX4,10,BHTB
ORAI2,10,BHTB
DNPEP,10,BHTB
CBR1,10,BHTB
C1GLT,10,BHTB
CIA2A,10,BHTB
HMR1.1,10,BHTB
EHF,10,BHTB
ECM1,10,BHTB
A33.43,10,BHTB
CLTR1.1,10,BHTB
ACOC,10,BHTB
PRPS2,10,BHTB
CATL1.4,10,BHTB
HA2B,10,BHTB
S14L5,10,BHTB
MET27.2,10,BHTB
PP14B,10,BHTB
TRI39.1,10,BHTB
HGNAT,10,BHTB
TECTA.4,10,BHTB
KPCA.2,10,BHTB
TF29.4,10,BHTB
TNAP2.1,10,BHTB
TBA.2,10,BHTB
HG2A,10,BHTB
NAGS,10,BHTB
MIB2,10,BHTB
ITLN1.1,10,BHTB
BORG1.2,10,BHTB
ARH37,10,BHTB
TM86A,10,BHTB
CC151,10,BHTB
MSRA,10,BHTB
UGDH.1,10,BHTB
IIGP5.4,10,BHTB
NMNA1,10,BHTB
FGL1L,10,BHTB
KCTD5,10,BHTB
SEP8B.1,10,BHTB
PSME2,10,BHTB
MUC19.3,10,BHTB
PAR14.2,10,BHTB
SNX22,10,BHTB
HMR1.2,10,BHTB
PAR12.1,10,BHTB
UGPA,10,BHTB
PSB7.1,10,BHTB
MUC5B.1,10,BHTB
AGAL,10,BHTB
STAT2,10,BHTB
P4K2B,10,BHTB
HYKK,10,BHTB
ACSA,10,BHTB
ST3A1,10,BHTB
GPC6A.2,10,BHTB
E41LB,10,BHTB
CB069,10,BHTB
STRP2,10,BHTB
ERH,10,BHTB
CC038.1,10,BHTB
PNCB,10,BHTB
NHRF1,10,BHTB
FANCL,10,BHTB
A33.38,10,BHTB
ITPK1.1,10,BHTB
ARRD4,10,BHTB
FADD,10,BHTB
MYOC,11,ET
B3GA1,11,ET
PITX3,11,ET
BMPR2,11,ET
CCD18,11,ET
LFNG,11,ET
LMTK1,11,ET
TR19L,11,ET
JUPI2,11,ET
UBP14,11,ET
NR13,11,ET
TBX3,11,ET
INHBA,11,ET
ABCD3,11,ET
SP6,11,ET
TCPH,11,ET
NRSN1,11,ET
LEF1,11,ET
CEPT1,11,ET
SMCA4,11,ET
EVA1C,11,ET
ID1,11,ET
HACD3,11,ET
PLOD2,11,ET
HOME2,11,ET
TRPM7,11,ET
S4A4.1,11,ET
CXG1.1,11,ET
LIPE.1,11,ET
DYN3,11,ET
TBB,11,ET
